index,Year,Quarter,CountryOfAsylum,nationality,ethnicity,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,documentation_id,Childinschool,Childvirtualed,disabilityacc_disabilityserv,medicalReceived,RiskYes,RiskReturn_medical,RiskStay_medical
25,2020,Q4,,venezuela,,relocate,3.0,1.0,nointention,1,yes,no,,Agree,Agree,0.0,
26,2020,Q4,,venezuela,,stay,2.0,1.0,nointention,0,yes,no,,Agree,Disagree,,
27,2020,Q4,,venezuela,,relocate,1.0,0.0,nointention,0,,,,StronglyAgree,Agree,0.0,
28,2020,Q4,,venezuela,,stay,6.0,1.0,nointention,1,yes,yes,,StronglyAgree,Agree,1.0,
29,2020,Q4,,venezuela,,stay,1.0,0.0,nointention,0,,,,StronglyAgree,StronglyAgree,1.0,
30,2020,Q4,,venezuela,,stay,5.0,1.0,nointention,1,yes,no,,Agree,Agree,0.0,
31,2020,Q4,,venezuela,,stay,,,nointention,0,yes,yes,,,Disagree,,
32,2020,Q4,,venezuela,,stay,3.0,0.0,nointention,1,,,,Agree,StronglyAgree,0.0,
33,2020,Q4,,venezuela,,relocate,1.0,0.0,nointention,1,,,,,Agree,0.0,
34,2020,Q4,,venezuela,,stay,,,nointention,1,yes,no,,StronglyAgree,Agree,1.0,
35,2020,Q4,,venezuela,,stay,,,nointention,1,yes,yes,,Agree,Agree,0.0,
36,2020,Q4,,venezuela,,dontknow,3.0,2.0,nointention,0,yes,no,,,Disagree,,
37,2020,Q4,,venezuela,,stay,1.0,0.0,nointention,1,,,,,Agree,1.0,
38,2020,Q4,,venezuela,,stay,1.0,0.0,yes,0,,,,StronglyAgree,Agree,0.0,
39,2020,Q4,,venezuela,,stay,1.0,0.0,nointention,1,,,,,Agree,0.0,
40,2020,Q4,,venezuela,,stay,3.0,2.0,yes,1,yes,yes,,StronglyAgree,Agree,1.0,
41,2020,Q4,,venezuela,,relocate,1.0,0.0,yes,1,,,,StronglyAgree,StronglyAgree,1.0,
42,2020,Q4,,venezuela,,stay,,,nointention,1,,,,StronglyAgree,StronglyAgree,0.0,
43,2020,Q4,,venezuela,,stay,3.0,2.0,nointention,1,yes,no,,Agree,Agree,1.0,
44,2020,Q4,,venezuela,,relocate,,,nointention,0,yes,yes,,,Agree,1.0,
45,2020,Q4,,venezuela,,stay,4.0,2.0,nointention,1,yes,yes,,Agree,Agree,1.0,
46,2020,Q4,,venezuela,,relocate,3.0,0.0,nointention,0,,,,StronglyAgree,StronglyAgree,0.0,
47,2020,Q4,,venezuela,,stay,2.0,0.0,nointention,1,,,,StronglyAgree,Agree,1.0,
48,2020,Q4,,venezuela,,stay,2.0,1.0,yes,1,yes,yes,,Agree,StronglyAgree,0.0,
49,2020,Q4,,venezuela,,stay,3.0,2.0,nointention,1,yes,yes,,StronglyAgree,Agree,0.0,
50,2020,Q4,,venezuela,,stay,1.0,0.0,nointention,1,,,,,Agree,1.0,
51,2020,Q4,,venezuela,,stay,1.0,0.0,nointention,1,,,,StronglyDisagree,Agree,1.0,
52,2020,Q4,,venezuela,,stay,2.0,2.0,nointention,1,yes,yes,,StronglyAgree,Undecided,,
53,2020,Q4,,venezuela,,stay,2.0,3.0,nointention,1,yes,yes,,Agree,Agree,1.0,
54,2020,Q4,,venezuela,,relocate,,,nointention,1,,,,StronglyAgree,Agree,1.0,
55,2020,Q4,,venezuela,,stay,3.0,0.0,nointention,1,,,,StronglyAgree,Agree,1.0,
56,2020,Q4,,venezuela,,stay,1.0,0.0,nointention,1,,,,,StronglyAgree,1.0,
57,2020,Q4,,venezuela,,stay,1.0,2.0,nointention,0,yes,yes,,Agree,Agree,1.0,
58,2020,Q4,,venezuela,,stay,2.0,2.0,nointention,1,yes,yes,,StronglyAgree,Agree,0.0,
59,2020,Q4,,venezuela,,stay,2.0,0.0,nointention,1,,,,Agree,Agree,1.0,
60,2020,Q4,,venezuela,,stay,2.0,1.0,nointention,1,yes,yes,,,Agree,0.0,
61,2020,Q4,,venezuela,,stay,2.0,2.0,nointention,1,yes,no,,,Agree,0.0,
62,2020,Q4,,venezuela,,stay,2.0,1.0,nointention,1,yes,no,,,Agree,1.0,
63,2020,Q4,,venezuela,,stay,14.0,0.0,nointention,0,,,,StronglyAgree,StronglyAgree,1.0,
